country	ccode	year	DistrictMagnitude	PR	ExternalLaborOpenness	GDPPCln	FarRight	Democracy	Parliamentary	LeftExecutive	RightExecutive	Inflows	Population
"USA"	2.0	1996	1.0	0	-1.0	10.26717	0	10.0	0.0	1.0	0.0	915.56	269393.97
"USA"	2.0	1997	1.0	0	-1.0	10.318296	0	10.0	0.0	1.0	0.0	797.847	272657.0
"USA"	2.0	1998	1.0	0	0.0	10.363664	0	10.0	0.0	1.0	0.0	653.206	275854.03
"USA"	2.0	1999	1.0	0	1.0	10.414277	0	10.0	0.0	1.0	0.0	644.787	279040.0
"USA"	2.0	2000	1.0	0	2.0	10.465442	0	10.0	0.0	1.0	0.0	841.002	282162.4
"USA"	2.0	2001	1.0	0	2.0	10.488836	0	10.0	0.0	0.0	1.0	1058.902	284968.97
"USA"	2.0	2002	1.0	0	3.0	10.513782	0	10.0	0.0	0.0	1.0	1059.356	287625.2
"USA"	2.0	2003	1.0	0	3.0	10.551238	0	10.0	0.0	0.0	1.0	703.542	290107.94
"USA"	2.0	2004	1.0	0	3.0	10.603916	0	10.0	0.0	0.0	1.0	957.883	292805.3
"USA"	2.0	2005	1.0	0	3.0	10.657645	0	10.0	0.0	0.0	1.0	1122.373	295516.6
"USA"	2.0	2006	1.0	0	3.0	10.7059965	0	10.0	0.0	0.0	1.0	1266.264	298379.9
"USA"	2.0	2007	1.0	0	3.0	10.7439575	0	10.0	0.0	0.0	1.0	1052.415	301231.2
"USA"	2.0	2008	1.0	0	3.0	10.752774	0	10.0	0.0	0.0	1.0	1107.126	304093.94
"USA"	2.0	2009	1.0	0	3.0	10.721174	0	10.0	0.0	1.0	0.0	1130.818	306771.53
"USA"	2.0	2010	1.0	0	3.0	10.749689	0	10.0	0.0	1.0	0.0	1042.625	309326.25
"USA"	2.0	2011	1.0	0	3.0	10.7813	0	10.0	0.0	1.0	0.0	1062.04	311587.8
"USA"	2.0	2012	1.0	0	3.0	10.819083	0	10.0	0.0	1.0	0.0	1031.6	313914.06
"Canada"	20.0	1996	1.0	0	0.0	9.937161	18.7	10.0	1.0	1.0	0.0	226.071	29671.9
"Canada"	20.0	1997	1.0	0	1.0	9.964596	19.4	10.0	1.0	1.0	0.0	216.038	29987.2
"Canada"	20.0	1998	1.0	0	1.0	9.922819	19.4	10.0	1.0	1.0	0.0	174.198	30247.9
"Canada"	20.0	1999	1.0	0	2.0	9.984209	19.4	10.0	1.0	1.0	0.0	189.952	30499.2
"Canada"	20.0	2000	1.0	0	2.0	10.067285	25.5	10.0	1.0	1.0	0.0	227.455	30769.7
"Canada"	20.0	2001	1.0	0	2.0	10.044004	25.5	10.0	1.0	1.0	0.0	250.64	31081.9
"Canada"	20.0	2002	1.0	0	2.0	10.061569	25.5	10.0	1.0	1.0	0.0	229.049	31362.0
"Canada"	20.0	2003	1.0	0	2.0	10.215935	25.5	10.0	1.0	1.0	0.0	221.348	31676.0
"Canada"	20.0	2004	1.0	0	2.0	10.342127	0	10.0	1.0	1.0	0.0	235.825	31995.0
"Canada"	20.0	2005	1.0	0	3.0	10.465611	0	10.0	1.0	1.0	0.0	262.241	32312.0
"Canada"	20.0	2006	1.0	0	4.0	10.577706	0	10.0	1.0	1.0	0.0	251.642	32576.074
"Canada"	20.0	2007	1.0	0	5.0	10.674718	0	10.0	1.0	0.0	1.0	236.754	32927.516
"Canada"	20.0	2008	1.0	0	5.0	10.716672	0	10.0	1.0	0.0	1.0	247.247	33317.66
"Canada"	20.0	2009	1.0	0	5.0	10.588075	0	10.0	1.0	0.0	1.0	252.179	33726.914
