State,Date,covidDeaths
Alabama,2020-02-01,0
Alabama,2020-02-08,0
Alabama,2020-02-15,0
Alabama,2020-02-22,0
Alabama,2020-02-29,0
Alabama,2020-03-07,0
Alabama,2020-03-14,0
Alabama,2020-03-21,0
Alabama,2020-03-28,4
Alabama,2020-04-04,40
Alabama,2020-04-11,48
Alabama,2020-04-18,61
Alabama,2020-04-25,56
Alabama,2020-05-02,79
Alabama,2020-05-09,102
Alabama,2020-05-16,95
Alabama,2020-05-23,64
Alabama,2020-05-30,69
Alabama,2020-06-06,71
Alabama,2020-06-13,84
Alabama,2020-06-20,65
Alabama,2020-06-27,81
Alabama,2020-07-04,88
Alabama,2020-07-11,107
Alabama,2020-07-18,172
Alabama,2020-07-25,170
Alabama,2020-08-01,147
Alabama,2020-08-08,152
Alabama,2020-08-15,141
Alabama,2020-08-22,115
Alabama,2020-08-29,141
Alabama,2020-09-05,123
Alabama,2020-09-12,75
Alabama,2020-09-19,87
Alabama,2020-09-26,64
Alabama,2020-10-03,57
Alabama,2020-10-10,106
Alabama,2020-10-17,124
Alabama,2020-10-24,78
Alabama,2020-10-31,101
Alabama,2020-11-07,115
Alabama,2020-11-14,164
Alabama,2020-11-21,211
Alabama,2020-11-28,115
Alabama,2020-12-05,305
Alabama,2020-12-12,225
Alabama,2020-12-19,287
Alabama,2020-12-26,296
Alabama,2021-01-02,187
Alabama,2021-01-09,427
Alabama,2021-01-16,820
Alabama,2021-01-23,538
Alabama,2021-01-30,909
Alabama,2021-02-06,947
Alabama,2021-02-13,729
Alabama,2021-02-20,348
Alabama,2021-02-27,340
Alabama,2021-03-06,219
Alabama,2021-03-13,178
Alabama,2021-03-20,109
Alabama,2021-03-27,90
Alabama,2021-04-03,111
Alaska,2020-02-01,0
Alaska,2020-02-08,0
Alaska,2020-02-15,0
Alaska,2020-02-22,0
Alaska,2020-02-29,0
Alaska,2020-03-07,0
Alaska,2020-03-14,0
Alaska,2020-03-21,0
Alaska,2020-03-28,2
Alaska,2020-04-04,3
Alaska,2020-04-11,3
Alaska,2020-04-18,1
Alaska,2020-04-25,0
Alaska,2020-05-02,0
Alaska,2020-05-09,1
Alaska,2020-05-16,0
Alaska,2020-05-23,0
Alaska,2020-05-30,0
Alaska,2020-06-06,0
Alaska,2020-06-13,2
Alaska,2020-06-20,0
Alaska,2020-06-27,2
Alaska,2020-07-04,2
Alaska,2020-07-11,1
Alaska,2020-07-18,1
Alaska,2020-07-25,2
Alaska,2020-08-01,4
Alaska,2020-08-08,2
Alaska,2020-08-15,2
Alaska,2020-08-22,3
Alaska,2020-08-29,6
Alaska,2020-09-05,5
Alaska,2020-09-12,2
Alaska,2020-09-19,1
Alaska,2020-09-26,7
Alaska,2020-10-03,7
Alaska,2020-10-10,2
Alaska,2020-10-17,6
Alaska,2020-10-24,1
Alaska,2020-10-31,14
Alaska,2020-11-07,4
Alaska,2020-11-14,14
Alaska,2020-11-21,4
Alaska,2020-11-28,18
Alaska,2020-12-05,21
Alaska,2020-12-12,33
Alaska,2020-12-19,8
Alaska,2020-12-26,16
Alaska,2021-01-02,15
Alaska,2021-01-09,9
Alaska,2021-01-16,5
Alaska,2021-01-23,30
Alaska,2021-01-30,3
Alaska,2021-02-06,17
Alaska,2021-02-13,3
Alaska,2021-02-20,7
Alaska,2021-02-27,1
Alaska,2021-03-06,15
Alaska,2021-03-13,1
Alaska,2021-03-20,4
Alaska,2021-03-27,3
Alaska,2021-04-03,0
Arizona,2020-02-01,0
Arizona,2020-02-08,0
Arizona,2020-02-15,0
Arizona,2020-02-22,0
Arizona,2020-02-29,0
Arizona,2020-03-07,0
Arizona,2020-03-14,0
Arizona,2020-03-21,1
Arizona,2020-03-28,14
Arizona,2020-04-04,37
Arizona,2020-04-11,65
Arizona,2020-04-18,63
Arizona,2020-04-25,93
Arizona,2020-05-02,57
Arizona,2020-05-09,202
Arizona,2020-05-16,147
Arizona,2020-05-23,122
Arizona,2020-05-30,103
Arizona,2020-06-06,139
Arizona,2020-06-13,146
Arizona,2020-06-20,157
Arizona,2020-06-27,234
Arizona,2020-07-04,237
Arizona,2020-07-11,334
Arizona,2020-07-18,579
Arizona,2020-07-25,556
Arizona,2020-08-01,461
Arizona,2020-08-08,390
Arizona,2020-08-15,355
Arizona,2020-08-22,264
Arizona,2020-08-29,251
Arizona,2020-09-05,200
Arizona,2020-09-12,108
Arizona,2020-09-19,152
Arizona,2020-09-26,155
Arizona,2020-10-03,83
Arizona,2020-10-10,54
Arizona,2020-10-17,65
Arizona,2020-10-24,45
Arizona,2020-10-31,110
Arizona,2020-11-07,168
Arizona,2020-11-14,153
Arizona,2020-11-21,157
Arizona,2020-11-28,167
Arizona,2020-12-05,301
Arizona,2020-12-12,397
Arizona,2020-12-19,615
Arizona,2020-12-26,487
Arizona,2021-01-02,637
Arizona,2021-01-09,975
Arizona,2021-01-16,1212
Arizona,2021-01-23,922
Arizona,2021-01-30,928
Arizona,2021-02-06,913
Arizona,2021-02-13,937
Arizona,2021-02-20,532
Arizona,2021-02-27,487
Arizona,2021-03-06,356
Arizona,2021-03-13,223
Arizona,2021-03-20,187
Arizona,2021-03-27,179
Arizona,2021-04-03,79
Arkansas,2020-02-01,0
Arkansas,2020-02-08,0
Arkansas,2020-02-15,0
Arkansas,2020-02-22,0
Arkansas,2020-02-29,0
Arkansas,2020-03-07,0
Arkansas,2020-03-14,0
Arkansas,2020-03-21,0
Arkansas,2020-03-28,5
Arkansas,2020-04-04,9
Arkansas,2020-04-11,11
Arkansas,2020-04-18,13
Arkansas,2020-04-25,10
Arkansas,2020-05-02,24
Arkansas,2020-05-09,16
Arkansas,2020-05-16,10
Arkansas,2020-05-23,17
Arkansas,2020-05-30,18
Arkansas,2020-06-06,21
Arkansas,2020-06-13,23
Arkansas,2020-06-20,47
Arkansas,2020-06-27,35
Arkansas,2020-07-04,27
Arkansas,2020-07-11,33
Arkansas,2020-07-18,38
Arkansas,2020-07-25,42
Arkansas,2020-08-01,59
Arkansas,2020-08-08,77
Arkansas,2020-08-15,65
Arkansas,2020-08-22,74
Arkansas,2020-08-29,98
Arkansas,2020-09-05,110
Arkansas,2020-09-12,87
Arkansas,2020-09-19,212
Arkansas,2020-09-26,104
Arkansas,2020-10-03,122
Arkansas,2020-10-10,145
Arkansas,2020-10-17,132
Arkansas,2020-10-24,113
Arkansas,2020-10-31,128
Arkansas,2020-11-07,143
Arkansas,2020-11-14,91
Arkansas,2020-11-21,178
Arkansas,2020-11-28,112
Arkansas,2020-12-05,171
Arkansas,2020-12-12,291
Arkansas,2020-12-19,280
Arkansas,2020-12-26,250
Arkansas,2021-01-02,288
Arkansas,2021-01-09,281
Arkansas,2021-01-16,283
Arkansas,2021-01-23,270
Arkansas,2021-01-30,275
Arkansas,2021-02-06,223
Arkansas,2021-02-13,191
Arkansas,2021-02-20,96
Arkansas,2021-02-27,69
Arkansas,2021-03-06,-120
Arkansas,2021-03-13,158
Arkansas,2021-03-20,78
Arkansas,2021-03-27,57
Arkansas,2021-04-03,51
California,2020-02-01,0
California,2020-02-08,0
California,2020-02-15,0
California,2020-02-22,0
California,2020-02-29,0
California,2020-03-07,1
California,2020-03-14,2
California,2020-03-21,22
California,2020-03-28,85
California,2020-04-04,179
California,2020-04-11,315
California,2020-04-18,536
California,2020-04-25,549
California,2020-05-02,491
California,2020-05-09,507
California,2020-05-16,521
California,2020-05-23,529
California,2020-05-30,407
California,2020-06-06,463
California,2020-06-13,469
California,2020-06-20,418
California,2020-06-27,405
California,2020-07-04,435
California,2020-07-11,693
California,2020-07-18,675
California,2020-07-25,706
California,2020-08-01,937
California,2020-08-08,962
California,2020-08-15,911
California,2020-08-22,915
California,2020-08-29,774
California,2020-09-05,802
California,2020-09-12,622
California,2020-09-19,691
California,2020-09-26,563
California,2020-10-03,535
California,2020-10-10,449
California,2020-10-17,389
California,2020-10-24,385
California,2020-10-31,317
California,2020-11-07,301
California,2020-11-14,294
California,2020-11-21,455
California,2020-11-28,422
California,2020-12-05,751
California,2020-12-12,1094
California,2020-12-19,1622
California,2020-12-26,1626
California,2021-01-02,2326
California,2021-01-09,3156
California,2021-01-16,3701
California,2021-01-23,3438
California,2021-01-30,3856
California,2021-02-06,3289
California,2021-02-13,2883
California,2021-02-20,2246
California,2021-02-27,2834
California,2021-03-06,2180
California,2021-03-13,2147
California,2021-03-20,1049
California,2021-03-27,1465
California,2021-04-03,859
Colorado,2020-02-01,0
Colorado,2020-02-08,0
Colorado,2020-02-15,0
Colorado,2020-02-22,0
Colorado,2020-02-29,0
Colorado,2020-03-07,0
Colorado,2020-03-14,2
Colorado,2020-03-21,4
Colorado,2020-03-28,38
Colorado,2020-04-04,82
Colorado,2020-04-11,148
Colorado,2020-04-18,137
Colorado,2020-04-25,273
Colorado,2020-05-02,148
Colorado,2020-05-09,135
Colorado,2020-05-16,225
Colorado,2020-05-23,135
Colorado,2020-05-30,116
Colorado,2020-06-06,84
Colorado,2020-06-13,70
Colorado,2020-06-20,50
Colorado,2020-06-27,27
Colorado,2020-07-04,27
Colorado,2020-07-11,24
Colorado,2020-07-18,27
Colorado,2020-07-25,42
Colorado,2020-08-01,50
Colorado,2020-08-08,13
Colorado,2020-08-15,39
Colorado,2020-08-22,22
Colorado,2020-08-29,24
Colorado,2020-09-05,29
Colorado,2020-09-12,17
Colorado,2020-09-19,25
Colorado,2020-09-26,27
Colorado,2020-10-03,20
Colorado,2020-10-10,52
Colorado,2020-10-17,64
Colorado,2020-10-24,42
Colorado,2020-10-31,67
Colorado,2020-11-07,104
Colorado,2020-11-14,136
Colorado,2020-11-21,262
Colorado,2020-11-28,196
Colorado,2020-12-05,374
Colorado,2020-12-12,514
Colorado,2020-12-19,468
Colorado,2020-12-26,253
Colorado,2021-01-02,320
Colorado,2021-01-09,278
Colorado,2021-01-16,173
Colorado,2021-01-23,119
Colorado,2021-01-30,138
Colorado,2021-02-06,102
Colorado,2021-02-13,92
Colorado,2021-02-20,73
Colorado,2021-02-27,58
Colorado,2021-03-06,41
Colorado,2021-03-13,50
Colorado,2021-03-20,32
Colorado,2021-03-27,21
Colorado,2021-04-03,35
Connecticut,2020-02-01,0
Connecticut,2020-02-08,0
Connecticut,2020-02-15,0
Connecticut,2020-02-22,0
Connecticut,2020-02-29,0
Connecticut,2020-03-07,0
Connecticut,2020-03-14,0
Connecticut,2020-03-21,4
Connecticut,2020-03-28,29
Connecticut,2020-04-04,132
Connecticut,2020-04-11,329
Connecticut,2020-04-18,592
Connecticut,2020-04-25,779
Connecticut,2020-05-02,571
Connecticut,2020-05-09,496
Connecticut,2020-05-16,407
Connecticut,2020-05-23,336
Connecticut,2020-05-30,237
Connecticut,2020-06-06,143
Connecticut,2020-06-13,131
Connecticut,2020-06-20,65
Connecticut,2020-06-27,60
Connecticut,2020-07-04,24
Connecticut,2020-07-11,13
Connecticut,2020-07-18,48
Connecticut,2020-07-25,17
Connecticut,2020-08-01,19
Connecticut,2020-08-08,9
Connecticut,2020-08-15,12
Connecticut,2020-08-22,7
Connecticut,2020-08-29,5
Connecticut,2020-09-05,3
Connecticut,2020-09-12,12
Connecticut,2020-09-19,12
Connecticut,2020-09-26,9
Connecticut,2020-10-03,12
Connecticut,2020-10-10,17
Connecticut,2020-10-17,12
Connecticut,2020-10-24,35
Connecticut,2020-10-31,39
Connecticut,2020-11-07,55
Connecticut,2020-11-14,66
Connecticut,2020-11-21,91
Connecticut,2020-11-28,133
Connecticut,2020-12-05,185
Connecticut,2020-12-12,217
Connecticut,2020-12-19,218
Connecticut,2020-12-26,210
Connecticut,2021-01-02,308
Connecticut,2021-01-09,225
Connecticut,2021-01-16,270
Connecticut,2021-01-23,225
Connecticut,2021-01-30,227
Connecticut,2021-02-06,168
Connecticut,2021-02-13,167
Connecticut,2021-02-20,142
Connecticut,2021-02-27,99
Connecticut,2021-03-06,82
Connecticut,2021-03-13,61
Connecticut,2021-03-20,67
Connecticut,2021-03-27,33
Connecticut,2021-04-03,39
Delaware,2020-02-01,0
Delaware,2020-02-08,0
Delaware,2020-02-15,0
Delaware,2020-02-22,0
Delaware,2020-02-29,0
Delaware,2020-03-07,0
Delaware,2020-03-14,0
Delaware,2020-03-21,0
Delaware,2020-03-28,0
Delaware,2020-04-04,17
Delaware,2020-04-11,27
Delaware,2020-04-18,43
Delaware,2020-04-25,70
Delaware,2020-05-02,79
Delaware,2020-05-09,69
Delaware,2020-05-16,83
Delaware,2020-05-23,53
Delaware,2020-05-30,53
Delaware,2020-06-06,27
Delaware,2020-06-13,19
Delaware,2020-06-20,12
Delaware,2020-06-27,10
Delaware,2020-07-04,7
Delaware,2020-07-11,7
Delaware,2020-07-18,7
Delaware,2020-07-25,11
Delaware,2020-08-01,6
Delaware,2020-08-08,6
Delaware,2020-08-15,2
Delaware,2020-08-22,5
Delaware,2020-08-29,2
Delaware,2020-09-05,8
Delaware,2020-09-12,7
Delaware,2020-09-19,5
Delaware,2020-09-26,11
Delaware,2020-10-03,14
Delaware,2020-10-10,11
Delaware,2020-10-17,15
Delaware,2020-10-24,23
Delaware,2020-10-31,26
Delaware,2020-11-07,17
Delaware,2020-11-14,14
Delaware,2020-11-21,20
Delaware,2020-11-28,27
Delaware,2020-12-05,29
Delaware,2020-12-12,45
